Name,Author,User Rating,Reviews,Price,Year,Genre
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,7665,12,2019,Non Fiction
Becoming,Michelle Obama,4.8,61133,11,2019,Non Fiction
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,5,2019,Fiction
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,16244,18,2019,Non Fiction
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,7955,5,2019,Non Fiction
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235,4,2019,Fiction
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,12619,8,2019,Fiction
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,9089,8,2019,Fiction
Educated: A Memoir,Tara Westover,4.7,28729,15,2019,Non Fiction
Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2019,Fiction
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,7660,12,2019,Non Fiction
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288,12,2019,Non Fiction
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,10141,6,2019,Non Fiction
Goodnight Moon,Margaret Wise Brown,4.8,8837,5,2019,Fiction
Guts,Raina Telgemeier,4.8,5476,7,2019,Non Fiction
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,7758,18,2019,Fiction
Howard Stern Comes Again,Howard Stern,4.3,5272,16,2019,Non Fiction
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,9737,7,2019,Non Fiction
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643,4,2019,Fiction
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396,13,2019,Non Fiction
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,7062,12,2019,Non Fiction
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,5347,16,2019,Non Fiction
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,7866,11,2019,Non Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,2019,Fiction
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820,5,2019,Non Fiction
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2019,Fiction
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,7802,20,2019,Non Fiction
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,4.8,23047,6,2019,Non Fiction
Strange Planet (Strange Planet Series),Nathan W. Pyle,4.9,9382,6,2019,Fiction
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,25554,8,2019,Non Fiction
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,12361,12,2019,Non Fiction
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,13061,6,2019,Non Fiction
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,23308,6,2019,Non Fiction
The Guardians: A Novel,John Grisham,4.5,13609,14,2019,Fiction
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,22641,11,2019,Non Fiction
The Mueller Report,The Washington Post,4.6,2744,12,2019,Non Fiction
The Silent Patient,Alex Michaelides,4.5,27536,14,2019,Fiction
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,26490,15,2019,Non Fiction
The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,4.7,11550,10,2019,Non Fiction
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,Dinah Bucholz,4.7,9030,10,2019,Non Fiction
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2019,Fiction
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8842,10,2019,Fiction
The Wonky Donkey,Craig Smith,4.8,30183,4,2019,Fiction
To Kill a Mockingbird,Harper Lee,4.8,26234,7,2019,Fiction
Unfreedom of the Press,Mark R. Levin,4.9,5956,11,2019,Non Fiction
Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Silly Bear,4.8,6108,4,2019,Non Fiction
What Should Danny Do? (The Power to Choose Series),Adir Levy,4.8,8170,13,2019,Fiction
Where the Crawdads Sing,Delia Owens,4.8,87841,15,2019,Fiction
Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,4.9,9413,8,2019,Fiction
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7,14331,8,2019,Non Fiction
